id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhmtf4t0005jp04sie4ibe2,LH-APLO-2019-1,APLO 2019 Problem 1,APLO,2019,2,/olympiad-problems/APLO/aplo-2019-p1.pdf,2,number-systems,"pattern-recognition,nilo-saharan,africa,beginner-friendly",Ik fourth powers - straightforward pattern with multiplication
cmhhmthfj0006jp04qt3ywwij,LH-APLO-2019-2,APLO 2019 Problem 2,APLO,2019,3,/olympiad-problems/APLO/aplo-2019-p2.pdf,3,morphology-verb,"kinship,pattern-recognition,isolate,americas,cultural-context",Urarina family relationships encoded in verb morphology with uxorilocality
cmhhmtjq90007jp04t6ll2mtt,LH-APLO-2019-3,APLO 2019 Problem 3,APLO,2019,3,/olympiad-problems/APLO/aplo-2019-p3.pdf,3,morphology-verb,"pattern-recognition,papuan,oceania,multi-step",Mee benefactive/applicative system with ambiguity in some forms
cmhhmtm0y0008jp04lmg1tzks,LH-APLO-2019-4,APLO 2019 Problem 4,APLO,2019,4,/olympiad-problems/APLO/aplo-2019-p4.pdf,4,morphology-verb,"afro-asiatic,middle-east,pattern-recognition,complex-data",Hebrew binyanim system with derivational morphology patterns
cmhhmtohn0009jp047hdzdljq,LH-APLO-2019-5,APLO 2019 Problem 5,APLO,2019,4,/olympiad-problems/APLO/aplo-2019-p5.pdf,4,writing-systems,"turkic,asia,ancient,pattern-recognition,rule-discovery",Old Turkic script with vowel harmony rules
cmhhxx23e00ctl404dau74kfz,LH-APLO-2020-1,APLO 2020 Problem 1,APLO,2020,2,/olympiad-problems/APLO/aplo-2020-p1.pdf,2,morphology-noun,"pattern-recognition,austronesian,oceania,cultural-context",Iaai possession with age-based register variation
cmhhxx7gq00cxl404s7nvkfc9,LH-APLO-2020-2,APLO 2020 Problem 2,APLO,2020,3,/olympiad-problems/APLO/aplo-2020-p2.pdf,3,syntax,"pattern-recognition,papuan,oceania,multi-step",Walman coordination and agreement with gender/number distinctions
cmhhxxd0400d1l404e1qhc4kq,LH-APLO-2020-3,APLO 2020 Problem 3,APLO,2020,3,/olympiad-problems/APLO/aplo-2020-p3.pdf,3,morphology-noun,"pattern-recognition,nilo-saharan,africa",Koyra Chiini derivational morphology with multiple affix types
cmhhxxidg00d5l404ng5mpqbw,LH-APLO-2020-4,APLO 2020 Problem 4,APLO,2020,4,/olympiad-problems/APLO/aplo-2020-p4.pdf,4,phonology,"pattern-recognition,native-american,americas,extinct,rule-discovery",Tübatulabal stress pattern requires discovering primary/secondary stress rules
cmhhxxnww00d9l404zo42pkzr,LH-APLO-2020-5,APLO 2020 Problem 5,APLO,2020,4,/olympiad-problems/APLO/aplo-2020-p5.pdf,4,morphology-verb,"austronesian,asia,pattern-recognition,rare-language",Mantauran voice/focus system typical of Austronesian languages
cmhhxxv7u00ddl404oitvondw,LH-APLO-2021-1,APLO 2021 Problem 1,APLO,2021,2,/olympiad-problems/APLO/aplo-2021-p1.pdf,2,morphology-noun,"pattern-recognition,aboriginal-australian,oceania,beginner-friendly",Pitjantjatjara ergative-absolutive case system with dual number
cmhhxy0rh00dhl4046i784est,LH-APLO-2021-2,APLO 2021 Problem 2,APLO,2021,3,/olympiad-problems/APLO/aplo-2021-p2.pdf,3,phonology,"pattern-recognition,isolate,americas,unusual-feature",Cushillococha Ticuna tone and creaky voice phonation with possessive constructions
cmhhxy64u00dll404pgdbpz9q,LH-APLO-2021-3,APLO 2021 Problem 3,APLO,2021,3,/olympiad-problems/APLO/aplo-2021-p3.pdf,3,number-systems,"writing-systems,afro-asiatic,africa,pattern-recognition",Somali number system with Osmanya script and Latin orthography
cmhhxybo700dpl404ybdwq51e,LH-APLO-2021-4,APLO 2021 Problem 4,APLO,2021,4,/olympiad-problems/APLO/aplo-2021-p4.pdf,4,morphology-verb,"afro-asiatic,africa,pattern-recognition,complex-data",Hdi verbal morphology with complex reduplication patterns
cmhhxyh1i00dtl404f7jvo7pg,LH-APLO-2021-5,APLO 2021 Problem 5,APLO,2021,4,/olympiad-problems/APLO/aplo-2021-p5.pdf,4,morphology-verb,"isolate,africa,pattern-recognition,unusual-feature",Sandawe evidentiality and gender with click consonants
cmhhxymku00dxl404w0u7hypp,LH-APLO-2022-1,APLO 2022 Problem 1,APLO,2022,2,/olympiad-problems/APLO/aplo-2022-p1.pdf,2,morphology-verb,"pattern-recognition,native-american,americas,beginner-friendly",Panará stative vs active verb distinction
cmhhxyry400e1l404c8bsw2ew,LH-APLO-2022-2,APLO 2022 Problem 2,APLO,2022,3,/olympiad-problems/APLO/aplo-2022-p2.pdf,3,phonology,"pattern-recognition,native-american,americas,rule-discovery",Wayuu stress placement with possessive morphology
cmhhxyxhi00e5l404zllwk11v,LH-APLO-2022-3,APLO 2022 Problem 3,APLO,2022,3,/olympiad-problems/APLO/aplo-2022-p3.pdf,3,phonology,"pattern-recognition,native-american,americas,multi-step",Jarawara stress pattern discovery with verb morphology
cmhhxz2ut00e9l404abo7wdh8,LH-APLO-2022-4,APLO 2022 Problem 4,APLO,2022,4,/olympiad-problems/APLO/aplo-2022-p4.pdf,4,number-systems,"papuan,oceania,pattern-recognition,complex-data",Ngkolmpu number system with ambiguous representations
cmhhxz88500edl404cd94oeir,LH-APLO-2022-5,APLO 2022 Problem 5,APLO,2022,4,/olympiad-problems/APLO/aplo-2022-p5.pdf,4,morphology-verb,"native-american,americas,pattern-recognition,unusual-feature",Miskito inclusive/exclusive pronouns with optional marking
cmhhxzfon00ehl4040auelo14,LH-APLO-2023-1,APLO 2023 Problem 1,APLO,2023,2,/olympiad-problems/APLO/aplo-2023-p1.pdf,2,morphology-verb,"pattern-recognition,papuan,oceania,beginner-friendly",Yimas dual number with aspect and polarity markers
cmhhxzl8700ell404mxrvo6fl,LH-APLO-2023-2,APLO 2023 Problem 2,APLO,2023,3,/olympiad-problems/APLO/aplo-2023-p2.pdf,3,morphology-noun,"pattern-recognition,native-american,americas,isolate",Ktunaxa noun compounding and derivational morphology
cmhhxzqli00epl404o2oiswek,LH-APLO-2023-3,APLO 2023 Problem 3,APLO,2023,3,/olympiad-problems/APLO/aplo-2023-p3.pdf,3,number-systems,"pattern-recognition,papuan,oceania",Kobon number system with multiple valid expressions
cmhhxzvyt00etl4041i22miao,LH-APLO-2023-4,APLO 2023 Problem 4,APLO,2023,4,/olympiad-problems/APLO/aplo-2023-p4.pdf,4,syntax,"papuan,oceania,pattern-recognition,multi-step",Inanwatan word order and case/agreement patterns
cmhhy01i500exl404s48060ok,LH-APLO-2023-5,APLO 2023 Problem 5,APLO,2023,4,/olympiad-problems/APLO/aplo-2023-p5.pdf,4,morphology-noun,"papuan,oceania,pattern-recognition,unusual-feature",Kombai complex locative system with habitual aspect
cmhhy06vm00f1l4044t85pcv7,LH-APLO-2024-1,APLO 2024 Problem 1,APLO,2024,2,/olympiad-problems/APLO/aplo-2024-p1.pdf,2,morphology-noun,"pattern-recognition,austronesian,oceania,cultural-context",Tutuba inalienable possession with cultural significance (pigs as wealth)
cmhhy0cf000f5l404k20vhtx8,LH-APLO-2024-2,APLO 2024 Problem 2,APLO,2024,3,/olympiad-problems/APLO/aplo-2024-p2.pdf,3,morphology-noun,"pattern-recognition,aboriginal-australian,oceania,extinct",Wemba Wemba noun compounding patterns
cmhhy0hsf00f9l404fmpu1xch,LH-APLO-2024-3,APLO 2024 Problem 3,APLO,2024,3,/olympiad-problems/APLO/aplo-2024-p3.pdf,3,phonology,"pattern-recognition,niger-congo,africa,rule-discovery",Bambara phonological adaptation of French loanwords
cmhhy0nc400fdl404hblqjhx3,LH-APLO-2024-4,APLO 2024 Problem 4,APLO,2024,4,/olympiad-problems/APLO/aplo-2024-p4.pdf,4,morphology-verb,"papuan,oceania,pattern-recognition,complex-data",Mairasi causative morphology with number agreement
cmhhy0v0n00fhl404zch32emv,LH-APLO-2024-5,APLO 2024 Problem 5,APLO,2024,4,/olympiad-problems/APLO/aplo-2024-p5.pdf,4,number-systems,"sino-tibetan,asia,pattern-recognition",Chungli Ao number system with arithmetic expressions
cmhhmt2sm0000jp049iv2ue99,LH-IOL-2003-1,IOL 2003 Problem 1: Budukh,IOL,2003,3,/olympiad-problems/IOL/by-year/2003/iol-2003-i1.pdf,3,writing-systems,"logical-reasoning,pattern-recognition,constructed,segmentation","Linzbach Transcendental Algebra - compositional writing with logical operators, requires understanding composition rules"
cmhhmt5ru0001jp042xl0hy9z,LH-IOL-2003-2,IOL 2003 Problem 2: Lak,IOL,2003,2,/olympiad-problems/IOL/by-year/2003/iol-2003-i2.pdf,2,number-systems,"pattern-recognition,afro-asiatic,africa,middle-east,beginner-friendly",Egyptian Arabic fraction arithmetic - straightforward once fraction notation understood
cmhhmt82r0002jp045m3d83st,LH-IOL-2003-3,IOL 2003 Problem 3: Zulu,IOL,2003,2,/olympiad-problems/IOL/by-year/2003/iol-2003-i3.pdf,2,morphology-noun,"pattern-recognition,isolate,europe,beginner-friendly",Basque date expressions with ordinal composition - clear structure
cmhhmtajd0003jp046kmlmf46,LH-IOL-2003-4,IOL 2003 Problem 4: Egyptian,IOL,2003,4,/olympiad-problems/IOL/by-year/2003/iol-2003-i4.pdf,3,syntax,"caucasian,europe,pattern-recognition,multi-step","Adyghe locative prefixes and directional case - requires analyzing prefix+suffix interaction"
cmhhmtcu20004jp04xtdw0slc,LH-IOL-2003-5,IOL 2003 Problem 5: Maninka,IOL,2003,4,/olympiad-problems/IOL/by-year/2003/iol-2003-i5.pdf,3,morphology-verb,"pattern-recognition,indo-european,europe,complex-data","French verb prefixes (re-, dé-) - large table requires identifying semantic patterns across 30+ verbs"
cmhhvyzk6000ll504kz136fpm,LH-IOL-2004-1,IOL 2004 Problem 1,IOL,2004,1,/olympiad-problems/IOL/by-year/2004/iol-2004-i1.pdf,1,morphology-verb,"pattern-recognition,native-american,americas,beginner-friendly",Kayapo basic sentence structure with pronouns and negation - very straightforward
cmhhvz51u000pl504hlr703tk,LH-IOL-2004-2,IOL 2004 Problem 2,IOL,2004,2,/olympiad-problems/IOL/by-year/2004/iol-2004-i2.pdf,3,semantics,"logical-reasoning,pattern-recognition,unusual-feature","Swift News headlines puzzle - identify semantic mismatches, creative problem type"
cmhhvzaja000tl504ajtl6ahs,LH-IOL-2004-3,IOL 2004 Problem 3,IOL,2004,2,/olympiad-problems/IOL/by-year/2004/iol-2004-i3.pdf,2,phonology,"comparative-method,reconstruction,indo-european,europe",Latin-English cognates - identify word without /dh/ using comparative method
