id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhmtf4t0005jp04sie4ibe2,LH-APLO-2019-1,APLO 2019 Problem 1,APLO,2019,2,/olympiad-problems/APLO/aplo-2019-p1.pdf,,,,
cmhhmthfj0006jp04qt3ywwij,LH-APLO-2019-2,APLO 2019 Problem 2,APLO,2019,3,/olympiad-problems/APLO/aplo-2019-p2.pdf,,,,
cmhhmtjq90007jp04t6ll2mtt,LH-APLO-2019-3,APLO 2019 Problem 3,APLO,2019,3,/olympiad-problems/APLO/aplo-2019-p3.pdf,,,,
cmhhmtm0y0008jp04lmg1tzks,LH-APLO-2019-4,APLO 2019 Problem 4,APLO,2019,4,/olympiad-problems/APLO/aplo-2019-p4.pdf,,,,
cmhhmtohn0009jp047hdzdljq,LH-APLO-2019-5,APLO 2019 Problem 5,APLO,2019,4,/olympiad-problems/APLO/aplo-2019-p5.pdf,,,,
cmhhxx23e00ctl404dau74kfz,LH-APLO-2020-1,APLO 2020 Problem 1,APLO,2020,2,/olympiad-problems/APLO/aplo-2020-p1.pdf,,,,
cmhhxx7gq00cxl404s7nvkfc9,LH-APLO-2020-2,APLO 2020 Problem 2,APLO,2020,3,/olympiad-problems/APLO/aplo-2020-p2.pdf,,,,
cmhhxxd0400d1l404e1qhc4kq,LH-APLO-2020-3,APLO 2020 Problem 3,APLO,2020,3,/olympiad-problems/APLO/aplo-2020-p3.pdf,,,,
cmhhxxidg00d5l404ng5mpqbw,LH-APLO-2020-4,APLO 2020 Problem 4,APLO,2020,4,/olympiad-problems/APLO/aplo-2020-p4.pdf,,,,
cmhhxxnww00d9l404zo42pkzr,LH-APLO-2020-5,APLO 2020 Problem 5,APLO,2020,4,/olympiad-problems/APLO/aplo-2020-p5.pdf,,,,
cmhhxxv7u00ddl404oitvondw,LH-APLO-2021-1,APLO 2021 Problem 1,APLO,2021,2,/olympiad-problems/APLO/aplo-2021-p1.pdf,,,,
cmhhxy0rh00dhl4046i784est,LH-APLO-2021-2,APLO 2021 Problem 2,APLO,2021,3,/olympiad-problems/APLO/aplo-2021-p2.pdf,,,,
cmhhxy64u00dll404pgdbpz9q,LH-APLO-2021-3,APLO 2021 Problem 3,APLO,2021,3,/olympiad-problems/APLO/aplo-2021-p3.pdf,,,,
cmhhxybo700dpl404ybdwq51e,LH-APLO-2021-4,APLO 2021 Problem 4,APLO,2021,4,/olympiad-problems/APLO/aplo-2021-p4.pdf,,,,
cmhhxyh1i00dtl404f7jvo7pg,LH-APLO-2021-5,APLO 2021 Problem 5,APLO,2021,4,/olympiad-problems/APLO/aplo-2021-p5.pdf,,,,
cmhhxymku00dxl404w0u7hypp,LH-APLO-2022-1,APLO 2022 Problem 1,APLO,2022,2,/olympiad-problems/APLO/aplo-2022-p1.pdf,,,,
cmhhxyry400e1l404c8bsw2ew,LH-APLO-2022-2,APLO 2022 Problem 2,APLO,2022,3,/olympiad-problems/APLO/aplo-2022-p2.pdf,,,,
cmhhxyxhi00e5l404zllwk11v,LH-APLO-2022-3,APLO 2022 Problem 3,APLO,2022,3,/olympiad-problems/APLO/aplo-2022-p3.pdf,,,,
cmhhxz2ut00e9l404abo7wdh8,LH-APLO-2022-4,APLO 2022 Problem 4,APLO,2022,4,/olympiad-problems/APLO/aplo-2022-p4.pdf,,,,
cmhhxz88500edl404cd94oeir,LH-APLO-2022-5,APLO 2022 Problem 5,APLO,2022,4,/olympiad-problems/APLO/aplo-2022-p5.pdf,,,,
cmhhxzfon00ehl4040auelo14,LH-APLO-2023-1,APLO 2023 Problem 1,APLO,2023,2,/olympiad-problems/APLO/aplo-2023-p1.pdf,,,,
cmhhxzl8700ell404mxrvo6fl,LH-APLO-2023-2,APLO 2023 Problem 2,APLO,2023,3,/olympiad-problems/APLO/aplo-2023-p2.pdf,,,,
cmhhxzqli00epl404o2oiswek,LH-APLO-2023-3,APLO 2023 Problem 3,APLO,2023,3,/olympiad-problems/APLO/aplo-2023-p3.pdf,,,,
cmhhxzvyt00etl4041i22miao,LH-APLO-2023-4,APLO 2023 Problem 4,APLO,2023,4,/olympiad-problems/APLO/aplo-2023-p4.pdf,,,,
cmhhy01i500exl404s48060ok,LH-APLO-2023-5,APLO 2023 Problem 5,APLO,2023,4,/olympiad-problems/APLO/aplo-2023-p5.pdf,,,,
cmhhy06vm00f1l4044t85pcv7,LH-APLO-2024-1,APLO 2024 Problem 1,APLO,2024,2,/olympiad-problems/APLO/aplo-2024-p1.pdf,,,,
cmhhy0cf000f5l404k20vhtx8,LH-APLO-2024-2,APLO 2024 Problem 2,APLO,2024,3,/olympiad-problems/APLO/aplo-2024-p2.pdf,,,,
cmhhy0hsf00f9l404fmpu1xch,LH-APLO-2024-3,APLO 2024 Problem 3,APLO,2024,3,/olympiad-problems/APLO/aplo-2024-p3.pdf,,,,
cmhhy0nc400fdl404hblqjhx3,LH-APLO-2024-4,APLO 2024 Problem 4,APLO,2024,4,/olympiad-problems/APLO/aplo-2024-p4.pdf,,,,
cmhhy0v0n00fhl404zch32emv,LH-APLO-2024-5,APLO 2024 Problem 5,APLO,2024,4,/olympiad-problems/APLO/aplo-2024-p5.pdf,,,,
cmhhmt2sm0000jp049iv2ue99,LH-IOL-2003-1,IOL 2003 Problem 1: Budukh,IOL,2003,3,/olympiad-problems/IOL/by-year/2003/iol-2003-i1.pdf,,,,
cmhhmt5ru0001jp042xl0hy9z,LH-IOL-2003-2,IOL 2003 Problem 2: Lak,IOL,2003,2,/olympiad-problems/IOL/by-year/2003/iol-2003-i2.pdf,,,,
cmhhmt82r0002jp045m3d83st,LH-IOL-2003-3,IOL 2003 Problem 3: Zulu,IOL,2003,2,/olympiad-problems/IOL/by-year/2003/iol-2003-i3.pdf,,,,
cmhhmtajd0003jp046kmlmf46,LH-IOL-2003-4,IOL 2003 Problem 4: Egyptian,IOL,2003,4,/olympiad-problems/IOL/by-year/2003/iol-2003-i4.pdf,,,,
cmhhmtcu20004jp04xtdw0slc,LH-IOL-2003-5,IOL 2003 Problem 5: Maninka,IOL,2003,4,/olympiad-problems/IOL/by-year/2003/iol-2003-i5.pdf,,,,
cmhhvyzk6000ll504kz136fpm,LH-IOL-2004-1,IOL 2004 Problem 1,IOL,2004,1,/olympiad-problems/IOL/by-year/2004/iol-2004-i1.pdf,,,,
