Problem ID,Year,Number,Title,Difficulty,Tags,Status,Notes
N2007-A,2007,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2007-B,2007,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2007-C,2007,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2007-D,2007,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2007-E,2007,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2007-F,2007,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2007-G,2007,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2007-H,2007,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-A,2008,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-B,2008,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-C,2008,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-D,2008,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-E,2008,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-F,2008,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-G,2008,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-H,2008,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-I,2008,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-J,2008,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-K,2008,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2008-L,2008,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-A,2009,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-B,2009,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-C,2009,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-D,2009,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-E,2009,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-F,2009,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-G,2009,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-H,2009,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-I,2009,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-J,2009,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-K,2009,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-L,2009,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2009-M,2009,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-A,2010,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-B,2010,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-C,2010,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-D,2010,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-E,2010,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-F,2010,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-G,2010,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-H,2010,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-I,2010,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-J,2010,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-K,2010,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-L,2010,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-M,2010,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-N,2010,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-O,2010,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2010-P,2010,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-A,2011,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-B,2011,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-C,2011,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-D,2011,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-E,2011,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-F,2011,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-G,2011,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-H,2011,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-I,2011,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-J,2011,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-K,2011,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-L,2011,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-M,2011,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2011-N,2011,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-A,2012,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-B,2012,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-C,2012,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-D,2012,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-E,2012,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-F,2012,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-G,2012,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-H,2012,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-I,2012,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-J,2012,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-K,2012,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-L,2012,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-M,2012,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-N,2012,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-O,2012,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-P,2012,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-Q,2012,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2012-R,2012,R,Problem R,3,"historical-linguistics, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-A,2013,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-B,2013,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-C,2013,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-D,2013,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-E,2013,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-F,2013,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-G,2013,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-H,2013,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-I,2013,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-J,2013,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-K,2013,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-L,2013,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-M,2013,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-N,2013,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-O,2013,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-P,2013,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-Q,2013,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2013-R,2013,R,Problem R,3,"historical-linguistics, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-A,2014,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-B,2014,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-C,2014,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-D,2014,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-E,2014,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-F,2014,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-G,2014,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-H,2014,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-I,2014,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-J,2014,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-K,2014,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-L,2014,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-M,2014,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-N,2014,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-O,2014,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-P,2014,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2014-Q,2014,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-A,2015,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-B,2015,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-C,2015,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-D,2015,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-E,2015,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-F,2015,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-G,2015,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-H,2015,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-I,2015,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-J,2015,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-K,2015,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-L,2015,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-M,2015,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
