id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhye1df00oll404g2tkpcx9,LH-NACLO-2013-A,NACLO 2013 Problem A,NACLO,2013,2,/olympiad-problems/NACLO/by-year/2013/naclo-2013-A-problem.pdf,2,writing-systems,"pattern-recognition,native-american,americas,beginner-friendly","Inuktitut syllabary decoding; systematic syllabic writing system derived from Cree"
cmhhye6wl00opl4046mprj0pg,LH-NACLO-2013-B,NACLO 2013 Problem B,NACLO,2013,2,/olympiad-problems/NACLO/by-year/2013/naclo-2013-B-problem.pdf,2,morphology-noun,"pattern-recognition,indo-european,asia,ancient,extinct","Pali noun case system; Buddhist literary language with inflectional morphology"
cmhhyec9r00otl404qlxxyhdn,LH-NACLO-2013-C,NACLO 2013 Problem C,NACLO,2013,2,/olympiad-problems/NACLO/by-year/2013/naclo-2013-C-problem.pdf,2,other,"logical-reasoning,pattern-recognition,beginner-friendly","Huffman encoding trees; computational linguistics puzzle about binary encoding"
cmhhyehsy00oxl404zc4a5lwi,LH-NACLO-2013-D,NACLO 2013 Problem D,NACLO,2013,2,/olympiad-problems/NACLO/by-year/2013/naclo-2013-D-problem.pdf,2,semantics,"pattern-recognition,native-american,americas,rare-language","Kwak'wala word search and vocabulary matching; 30 words in puzzle format"
cmhhyen6300p1l404fotn5ngy,LH-NACLO-2013-E,NACLO 2013 Problem E,NACLO,2013,3,/olympiad-problems/NACLO/by-year/2013/naclo-2013-E-problem.pdf,3,writing-systems,"pattern-recognition,phonology,constructed","Shavian alphabet designed for English; phonetic script with paired consonants"
cmhhyesjj00p5l4048lbw0icb,LH-NACLO-2013-F,NACLO 2013 Problem F,NACLO,2013,3,/olympiad-problems/NACLO/by-year/2013/naclo-2013-F-problem.pdf,3,syntax,"logical-reasoning,pattern-recognition,rule-discovery","Context-free grammar parsing; determining well-formed sentences from CFG rules"
cmhhyey2n00p9l404mr410kv5,LH-NACLO-2013-G,NACLO 2013 Problem G,NACLO,2013,3,/olympiad-problems/NACLO/by-year/2013/naclo-2013-G-problem.pdf,3,writing-systems,"pattern-recognition,afro-asiatic,middle-east,ancient,extinct","Phoenician script matching with city names; ancient Mediterranean writing system"
cmhhyf3fu00pdl404giu26nrm,LH-NACLO-2013-H,NACLO 2013 Problem H,NACLO,2013,3,/olympiad-problems/NACLO/by-year/2013/naclo-2013-H-problem.pdf,3,syntax,"logical-reasoning,multi-step,unusual-feature","Twodee 2D writing system; syntax and ambiguity in two-dimensional text layout"
cmhhyf8z100phl404t1icov7s,LH-NACLO-2013-I,NACLO 2013 Problem I,NACLO,2013,3,/olympiad-problems/NACLO/by-year/2013/naclo-2013-I-problem.pdf,3,morphology-verb,"pattern-recognition,afro-asiatic,africa,rare-language","Beja verb morphology with gender marking; Afro-Asiatic language from Sudan"
cmhhyfg9j00pll404g7yyeq5c,LH-NACLO-2013-J,NACLO 2013 Problem J,NACLO,2013,3,/olympiad-problems/NACLO/by-year/2013/naclo-2013-J-problem.pdf,3,semantics,"pattern-recognition,translation,indo-european,europe","Stockholm metro station name translation; Swedish compound word analysis"
cmhhyflsn00ppl404oacl3fnc,LH-NACLO-2013-K,NACLO 2013 Problem K,NACLO,2013,3,/olympiad-problems/NACLO/by-year/2013/naclo-2013-K-problem.pdf,3,other,"pattern-recognition,correspondence,asia,europe","Georgian and Armenian month names; finding cognates and fake entries"
cmhhyfr5p00ptl404mtalgp5a,LH-NACLO-2013-L,NACLO 2013 Problem L,NACLO,2013,3,/olympiad-problems/NACLO/by-year/2013/naclo-2013-L-problem.pdf,3,semantics,"logical-reasoning,pattern-recognition","Yesbot logical errors; identifying problems with sentence truth transformation"
cmhhyfwos00pxl4040t26vyyw,LH-NACLO-2013-M,NACLO 2013 Problem M,NACLO,2013,4,/olympiad-problems/NACLO/by-year/2013/naclo-2013-M-problem.pdf,4,semantics,"translation,correspondence,austronesian,niger-congo,africa,asia","Indonesian-Swahili cognates; misleading cognates and translation matching"
cmhhyg21z00q1l404u9yq3dqe,LH-NACLO-2013-N,NACLO 2013 Problem N,NACLO,2013,4,/olympiad-problems/NACLO/by-year/2013/naclo-2013-N-problem.pdf,4,other,"logical-reasoning,pattern-recognition,multi-step","Decision tree construction; computational linguistics and phrasal verb classification"
cmhhyg9lt00q5l4047qb91itt,LH-NACLO-2013-O,NACLO 2013 Problem O,NACLO,2013,4,/olympiad-problems/NACLO/by-year/2013/naclo-2013-O-problem.pdf,4,kinship,"logical-reasoning,aboriginal-australian,oceania,unusual-feature","Warlpiri kinship system; eight-skin marriage and inheritance patterns"
cmhhygf4t00q9l404cdvxtlkv,LH-NACLO-2013-P,NACLO 2013 Problem P,NACLO,2013,4,/olympiad-problems/NACLO/by-year/2013/naclo-2013-P-problem.pdf,4,morphology-verb,"pattern-recognition,translation,native-american,americas","Quechua poetry translation; verb morphology and evidentiality markers"
cmhhygknj00qdl404bw11xtos,LH-NACLO-2013-Q,NACLO 2013 Problem Q,NACLO,2013,4,/olympiad-problems/NACLO/by-year/2013/naclo-2013-Q-problem.pdf,4,semantics,"logical-reasoning,multi-step","Gricean maxims and conversational implicature; pragmatics in card game context"
cmhhygq0e00qhl404ol4iwjax,LH-NACLO-2013-R,NACLO 2013 Problem R,NACLO,2013,4,/olympiad-problems/NACLO/by-year/2013/naclo-2013-R-problem.pdf,4,writing-systems,"pattern-recognition,sign-language,europe,multi-step","Polish Sign Language chemical elements; complex multi-letter sign combinations"
