id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhyukrj0109l4043dy5m4n9,LH-NACLO-2019-A,NACLO 2019 Problem A,NACLO,2019,2,/olympiad-problems/NACLO/by-year/2019/naclo-2019-A-problem.pdf,2,phonology,"pattern-recognition,afro-asiatic,europe,segmentation",Phonologically conditioned definite article allomorphy based on consonant class (sun/moon letters)
cmhhyuq5w010dl404hpjarz2u,LH-NACLO-2019-B,NACLO 2019 Problem B,NACLO,2019,2,/olympiad-problems/NACLO/by-year/2019/naclo-2019-B-problem.pdf,2,morphology-verb,"pattern-recognition,segmentation,translation,niger-congo,africa",Bantu verb morphology with subject agreement prefixes and infinitive marker uku-
cmhhyuvec010hl404ocydcxkw,LH-NACLO-2019-C,NACLO 2019 Problem C,NACLO,2019,2,/olympiad-problems/NACLO/by-year/2019/naclo-2019-C-problem.pdf,2,number-systems,"pattern-recognition,native-american,americas,beginner-friendly",Quinary (base-5) body-part counting system with compositional structure
cmhhyv0nu010ll404671lnxy7,LH-NACLO-2019-D,NACLO 2019 Problem D,NACLO,2019,2,/olympiad-problems/NACLO/by-year/2019/naclo-2019-D-problem.pdf,3,semantics,"logical-reasoning,pattern-recognition,multi-step",Semantic selectional restrictions shown via binary tree structure (predicate-subject compatibility)
cmhhyv810010pl404i9g4bm0k,LH-NACLO-2019-E,NACLO 2019 Problem E,NACLO,2019,3,/olympiad-problems/NACLO/by-year/2019/naclo-2019-E-problem.pdf,2,syntax,"pattern-recognition,translation,africa,rare-language",Word order patterns with locative phrases and number agreement
cmhhyvdfc010tl404lh5ow61w,LH-NACLO-2019-F,NACLO 2019 Problem F,NACLO,2019,3,/olympiad-problems/NACLO/by-year/2019/naclo-2019-F-problem.pdf,3,morphology-noun,"pattern-recognition,sino-tibetan,asia,multi-step",Mongolian vowel harmony in noun case marking (plural and directive suffixes)
cmhhyvinx010xl404llthdimn,LH-NACLO-2019-G,NACLO 2019 Problem G,NACLO,2019,3,/olympiad-problems/NACLO/by-year/2019/naclo-2019-G-problem.pdf,3,other,"logical-reasoning,pattern-recognition,segmentation,computational","Character-level NLP problem testing understanding of morpheme segmentation errors; requires logical deduction about how incorrect word-breaking leads to humorous definitions"
cmhhyvnwb0111l4047aalgutu,LH-NACLO-2019-H,NACLO 2019 Problem H,NACLO,2019,3,/olympiad-problems/NACLO/by-year/2019/naclo-2019-H-problem.pdf,3,writing-systems,"austronesian,asia,pattern-recognition,rare-language","Hanunó'o abugida script from Philippines written vertically; requires understanding vowel diacritics and correspondence matching"
cmhhyvtal0115l404q5ted1rr,LH-NACLO-2019-I,NACLO 2019 Problem I,NACLO,2019,3,/olympiad-problems/NACLO/by-year/2019/naclo-2019-I-problem.pdf,2,morphology-noun,"constructed,africa,pattern-recognition,segmentation","Afrihili constructed auxiliary language with elaborate derivation system; relatively regular patterns make it accessible"
cmhhyvyj00119l404ca4f2nij,LH-NACLO-2019-J,NACLO 2019 Problem J,NACLO,2019,3,/olympiad-problems/NACLO/by-year/2019/naclo-2019-J-problem.pdf,3,morphology-noun,"indo-european,europe,pattern-recognition,phonology","Polish plural formation with complex consonant mutations and multiple declension patterns; requires understanding phonological alternations"
cmhhyw3xb011dl404r54sbdmd,LH-NACLO-2019-K,NACLO 2019 Problem K,NACLO,2019,3,/olympiad-problems/NACLO/by-year/2019/naclo-2019-K-problem.pdf,3,writing-systems,"sino-tibetan,asia,pattern-recognition,rare-language","Lepcha script for Róng language (Sikkim); requires matching script symbols to sounds and writing new words"
cmhhyw95p011hl404zlwpnx3g,LH-NACLO-2019-L,NACLO 2019 Problem L,NACLO,2019,3,/olympiad-problems/NACLO/by-year/2019/naclo-2019-L-problem.pdf,3,morphology-verb,"native-american,americas,extinct,pattern-recognition,segmentation","Cupeño verb morphology with complex person/tense/object marking; extinct language (last speaker died 1987)"
cmhhywejz011ll404fz24mt4y,LH-NACLO-2019-M,NACLO 2019 Problem M,NACLO,2019,4,/olympiad-problems/NACLO/by-year/2019/naclo-2019-M-problem.pdf,4,other,"logical-reasoning,rule-discovery,multi-step,complex-data","Frege's Begriffsschrift (1879) logical notation; translating 2D tree-structured formulas to modern propositional logic with nested implications, conjunctions, disjunctions, and negations"
cmhhywjse011pl404wtes03zs,LH-NACLO-2019-N,NACLO 2019 Problem N,NACLO,2019,4,/olympiad-problems/NACLO/by-year/2019/naclo-2019-N-problem.pdf,3,morphology-noun,"pattern-recognition,correspondence,segmentation,native-american,americas","Witsuwit'en nominal compounding with transparent semantic composition (24 items); compound words like 'dog harness' = dog + abdomen"
cmhhywr3j011tl404bp31d1ui,LH-NACLO-2019-O,NACLO 2019 Problem O,NACLO,2019,4,/olympiad-problems/NACLO/by-year/2019/naclo-2019-O-problem.pdf,4,other,"logical-reasoning,rule-discovery,multi-step,complex-data","Natural language inference (NLI); reverse-engineering spurious patterns learned by neural network from training data; analyzing systematic model errors in semantic entailment task",
cmhhywwc2011xl404iblvyw54,LH-NACLO-2019-P,NACLO 2019 Problem P,NACLO,2019,4,/olympiad-problems/NACLO/by-year/2019/naclo-2019-P-problem.pdf,4,syntax,"pattern-recognition,translation,native-american,americas","Mayangna word order patterns with locative phrases (next to, above, under, in front of, behind, at), negation, and possessive constructions; bidirectional translation task"
