NACLO Problems Summary by Year and Difficulty
============================================================

Year     Total    Beginner     Intermediate    Advanced  
------------------------------------------------------------
2007     8        4            4               0         
2008     12       4            8               0         
2009     13       4            8               1         
2010     16       4            8               4         
2011     14       4            8               2         
2012     18       4            8               6         
2013     18       4            8               6         
2014     17       4            8               5         
2015     16       4            8               4         
2016     18       4            8               6         
2017     18       4            8               6         
2018     18       4            8               6         
2019     18       4            8               6         
2020     18       4            8               6         
2021     19       4            8               7         
2022     18       4            8               6         
2023     17       4            8               5         
2025     16       4            8               4         
------------------------------------------------------------
TOTAL    292      72           140             80        
